Batch,Sample Type,Inject Order,Sample Name,File Name,Bio Group
B2,Sample,200,B2-194,P0014_6600_0301_POS_B2-194_50-2uL_C18-25.5min_R31,SG-1
B2,Sample,201,B2-196,P0014_6600_0301_POS_B2-196_50-2uL_C18-25.5min_R32,SG-0
B2,Sample,202,B2-197,P0014_6600_0301_POS_B2-197_50-2uL_C18-25.5min_R33,SG-0
B2,QC,203,QC2-3,P0014_6600_0301_POS_QC2-3_50-2uL_C18-25.5min_R34,Invalid
B2,Blank,204,BLANK2-5,P0014_6600_0301_POS_BLANK2-5_50-2uL_C18-25.5min_R35,Invalid
B2,Sample,205,B2-198,P0014_6600_0301_POS_B2-198_50-2uL_C18-25.5min_R36,SG-0
B2,Sample,206,B2-202,P0014_6600_0301_POS_B2-202_50-2uL_C18-25.5min_R37,SG-0
B2,Sample,207,B2-206,P0014_6600_0301_POS_B2-206_50-2uL_C18-25.5min_R38,SG-2
B2,Sample,208,B2-208,P0014_6600_0301_POS_B2-208_50-2uL_C18-25.5min_R39,SG-0
B2,Sample,209,B2-209,P0014_6600_0301_POS_B2-209_50-2uL_C18-25.5min_R40,SG-0
B2,Sample,210,B2-210,P0014_6600_0301_POS_B2-210_50-2uL_C18-25.5min_R41,SG-2
B2,Sample,211,B2-211,P0014_6600_0301_POS_B2-211_50-2uL_C18-25.5min_R42,SG-0
B2,Sample,212,B2-213,P0014_6600_0301_POS_B2-213_50-2uL_C18-25.5min_R43,SG-0
B2,Sample,213,B2-214,P0014_6600_0301_POS_B2-214_50-2uL_C18-25.5min_R44,SG-2
B2,Sample,214,B2-215,P0014_6600_0301_POS_B2-215_50-2uL_C18-25.5min_R45,SG-2
B2,QC,215,QC2-4,P0014_6600_0301_POS_QC2-4_50-2uL_C18-25.5min_R46,Invalid
B2,Sample,217,B2-216,P0014_6600_0301_POS_B2-216_50-2uL_C18-25.5min_R48,SG-0
B2,Sample,218,B2-217,P0014_6600_0301_POS_B2-217_50-2uL_C18-25.5min_R49,SG-0
B2,Sample,219,B2-218,P0014_6600_0301_POS_B2-218_50-2uL_C18-25.5min_R50,SG-2
B2,Sample,220,B2-219,P0014_6600_0301_POS_B2-219_50-2uL_C18-25.5min_R51,SG-0
B2,Sample,221,B2-220,P0014_6600_0301_POS_B2-220_50-2uL_C18-25.5min_R52,SG-2
B2,Sample,222,B2-221,P0014_6600_0301_POS_B2-221_50-2uL_C18-25.5min_R53,SG-0
B2,Sample,223,B2-222,P0014_6600_0301_POS_B2-222_50-2uL_C18-25.5min_R54,SG-2
B2,Sample,224,B2-223,P0014_6600_0301_POS_B2-223_50-2uL_C18-25.5min_R55,SG-2
B2,Sample,225,B2-224,P0014_6600_0301_POS_B2-224_50-2uL_C18-25.5min_R56,SG-2
B2,Sample,226,B2-226,P0014_6600_0301_POS_B2-226_50-2uL_C18-25.5min_R57,SG-2
B2,QC,227,QC2-5,P0014_6600_0301_POS_QC2-5_50-2uL_C18-25.5min_R58,Invalid
B2,Sample,229,B2-227,P0014_6600_0301_POS_B2-227_50-2uL_C18-25.5min_R60,SG-0
B2,Sample,230,B2-228,P0014_6600_0301_POS_B2-228_50-2uL_C18-25.5min_R61,SG-0
B2,Sample,231,B2-230,P0014_6600_0301_POS_B2-230_50-2uL_C18-25.5min_R62,SG-0
B2,Sample,232,B2-231,P0014_6600_0301_POS_B2-231_50-2uL_C18-25.5min_R63,SG-2
B2,Sample,233,B2-232,P0014_6600_0301_POS_B2-232_50-2uL_C18-25.5min_R64,SG-2
B2,Sample,234,B2-233,P0014_6600_0301_POS_B2-233_50-2uL_C18-25.5min_R65,SG-2
B2,Sample,235,B2-234,P0014_6600_0301_POS_B2-234_50-2uL_C18-25.5min_R66,SG-0
B2,Sample,236,B2-235,P0014_6600_0301_POS_B2-235_50-2uL_C18-25.5min_R67,SG-2
B2,Sample,237,B2-236,P0014_6600_0301_POS_B2-236_50-2uL_C18-25.5min_R68,SG-2
B2,Sample,238,B2-238,P0014_6600_0301_POS_B2-238_50-2uL_C18-25.5min_R69,SG-0
B2,QC,239,QC2-6,P0014_6600_0301_POS_QC2-6_50-2uL_C18-25.5min_R70,Invalid
B2,Blank,240,BLANK2-6,P0014_6600_0301_POS_BLANK2-6_50-2uL_C18-25.5min_R71,Invalid
B2,Sample,241,B2-243,P0014_6600_0301_POS_B2-243_50-2uL_C18-25.5min_R72,SG-2
B2,Sample,242,B2-244,P0014_6600_0301_POS_B2-244_50-2uL_C18-25.5min_R73,SG-0
B2,Sample,243,B2-245,P0014_6600_0301_POS_B2-245_50-2uL_C18-25.5min_R74,SG-0
B2,Sample,244,B2-246,P0014_6600_0301_POS_B2-246_50-2uL_C18-25.5min_R75,SG-0
B2,Sample,245,B2-248,P0014_6600_0301_POS_B2-248_50-2uL_C18-25.5min_R76,SG-2
B2,Sample,246,B2-249,P0014_6600_0301_POS_B2-249_50-2uL_C18-25.5min_R77,SG-0
B2,Sample,247,B2-251,P0014_6600_0301_POS_B2-251_50-2uL_C18-25.5min_R78,SG-0
B2,Sample,248,B2-253,P0014_6600_0301_POS_B2-253_50-2uL_C18-25.5min_R79,SG-2
B2,Sample,249,B2-254,P0014_6600_0301_POS_B2-254_50-2uL_C18-25.5min_R80,SG-2
B2,Sample,250,B2-255,P0014_6600_0301_POS_B2-255_50-2uL_C18-25.5min_R81,SG-2
B2,QC,251,QC2-7,P0014_6600_0301_POS_QC2-7_50-2uL_C18-25.5min_R82,Invalid
B2,Sample,253,B2-256,P0014_6600_0301_POS_B2-256_50-2uL_C18-25.5min_R84,SG-0
B2,Sample,254,B2-258,P0014_6600_0301_POS_B2-258_50-2uL_C18-25.5min_R85,SG-0
B2,Sample,255,B2-259,P0014_6600_0301_POS_B2-259_50-2uL_C18-25.5min_R86,SG-2
B2,Sample,256,B2-260,P0014_6600_0301_POS_B2-260_50-2uL_C18-25.5min_R87,SG-2
B2,Sample,257,B2-261,P0014_6600_0301_POS_B2-261_50-2uL_C18-25.5min_R88,SG-2
B2,Sample,258,B2-262,P0014_6600_0301_POS_B2-262_50-2uL_C18-25.5min_R89,SG-0
B2,Sample,259,B2-263,P0014_6600_0301_POS_B2-263_50-2uL_C18-25.5min_R90,SG-2
B2,Sample,260,B2-264,P0014_6600_0301_POS_B2-264_50-2uL_C18-25.5min_R91,SG-2
B2,Sample,261,B2-265,P0014_6600_0301_POS_B2-265_50-2uL_C18-25.5min_R92,SG-2
B2,Sample,262,B2-266,P0014_6600_0301_POS_B2-266_50-2uL_C18-25.5min_R93,SG-2
B2,QC,263,QC2-8,P0014_6600_0301_POS_QC2-8_50-2uL_C18-25.5min_R94,Invalid
B2,Sample,265,B2-267,P0014_6600_0301_POS_B2-267_50-2uL_C18-25.5min_R96,SG-2
B2,Sample,266,B2-268,P0014_6600_0301_POS_B2-268_50-2uL_C18-25.5min_R97,SG-2
B2,Sample,267,B2-269,P0014_6600_0301_POS_B2-269_50-2uL_C18-25.5min_R98,SG-0
B2,Sample,268,B2-270,P0014_6600_0301_POS_B2-270_50-2uL_C18-25.5min_R99,SG-0
B2,Sample,269,B2-271,P0014_6600_0301_POS_B2-271_50-2uL_C18-25.5min_R100,SG-0
B2,Sample,270,B2-272,P0014_6600_0301_POS_B2-272_50-2uL_C18-25.5min_R101,SG-0
B2,Sample,271,B2-273,P0014_6600_0301_POS_B2-273_50-2uL_C18-25.5min_R102,SG-0
B2,Sample,272,B2-274,P0014_6600_0301_POS_B2-274_50-2uL_C18-25.5min_R103,SG-0
B2,Sample,273,B2-275,P0014_6600_0301_POS_B2-275_50-2uL_C18-25.5min_R104,SG-2
B2,Sample,274,B2-276,P0014_6600_0301_POS_B2-276_50-2uL_C18-25.5min_R105,SG-0
B2,QC,275,QC2-9,P0014_6600_0301_POS_QC2-9_50-2uL_C18-25.5min_R106,Invalid
B2,Blank,276,BLANK2-7,P0014_6600_0301_POS_BLANK2-8_50-2uL_C18-25.5min_R107,Invalid
B2,Sample,277,B2-277,P0014_6600_0301_POS_B2-277_50-2uL_C18-25.5min_R108,SG-2
B2,Sample,278,B2-278,P0014_6600_0301_POS_B2-278_50-2uL_C18-25.5min_R109,SG-0
B2,Sample,279,B2-280,P0014_6600_0301_POS_B2-280_50-2uL_C18-25.5min_R110,SG-0
